PastureID_YearOfSurvey,Point_ID,Year,Site,PercentWtRemovedPlot,ObsID,Date,Lat,Lon,PAST_NAME,Utilization,ShrubOverstory,OthShrubCode,MostAbdPerGrass,OthGrassCode,CheatgrassCover,Subsample,EmployeeYear,Position,Original_Site_Assignment,Start_Date,End_Date,Performance_Rating
17,UBRBE3325,2016,BRBE,0,94,8/1/2016,42.0043214,-114.7661679,China Creek BLM #1,2.5,ARNO4,NA,POSE,NA,10,1,Currently Employed,NA,All Sites,NA,NA,NA
785,1587,2015,SHCR,NA,94,7/31/2015,42.092479,-115.823939,Tokum-Bambi West,30,ARTRW, ,POSE, ,10,0,Currently Employed,NA,All Sites,NA,NA,NA
14,ubrbe1054,2016,BRBE,NA,94,7/20/2016,42.09183822,-114.7917459,Browns Creek East,2.5,ARTRW8,NA,AGCR,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
775,ubibu1829,2016,BIBU,NA,94,8/4/2016,43.37543475,-113.1270989,Butte,2.5,ARTRW8,NA,OTHER,pasm,70,0,Currently Employed,NA,All Sites,NA,NA,NA
786,U_PAVA1554,2018,PAVA,1.234825527,95,8/9/2018,44.34247474,-113.6910908,River,30,ARAR8,NA,POSE,NA,0,1,2018,Crew Leader,BRBE,2/20/2018,8/25/2018,Excellent
17,U_BRBE2988,2018,BRBE,NA,95,7/31/2018,42.03849006,-114.7958699,China Creek BLM #1,2.5,ARNO4,NA,STIPA,NA,40,0,2018,Crew Leader,BRBE,2/20/2018,8/25/2018,Excellent
788,U_PAVA1322,2018,PAVA,18.98110191,471057388,8/10/2018,44.31005474,-113.6912832,West River Flat,13,ARTRW8,NA,POSE,NA,0,1,2018,Point Count Technician,PAVA,5/3/2018,8/10/2018,Excellent
29,U_JISA1203,2017,JISA,0,70,8/4/2017,42.16221037,-113.4053386,Sheep Mountain South,2.5,ARAR8,NA,POSE,NA,70,1,2017,Range Technician,BRBE,4/24/2017,8/8/2017,Average
17,178,2015,BRBE,NA,94,7/29/2015,42.013847,-114.766725,China Creek BLM #1,2.5,CHRYS9, ,POSE, ,90,0,Currently Employed,NA,All Sites,NA,NA,NA
843,715,2015,SHCR,NA,94,7/27/2015,42.057291,-115.823151,East Blackleg,13,ARTRW, ,PSSP6, ,80,0,Currently Employed,NA,All Sites,NA,NA,NA
7,U_PAVA181,2017,PAVA,NA,3,8/14/2017,44.30295168,-113.6988673,West River Flat North,13,ARTRW8,NA,POSE,NA,0,0,2017,Crew Leader,BIBU,2/6/2017,8/25/2017,Excellent
24,U_SHCR2880,2017,SHCR,NA,13,7/26/2017,42.10060956,-115.7085891,Slaughterhouse North,2.5,ARTRW8,NA,POSE,NA,70,0,2017,Wildlife Technician,SHCR,2/27/2017,8/4/2017,Excellent
17,U_BRBE195,2017,BRBE,NA,66,7/26/2017,42.02595593,-114.7897872,China Creek BLM #1,2.5,ARNO4,NA,POSE,NA,10,0,2017,IDFG Technician,All Sites,1/30/2017,9/1/2017,Excellent
1,U_PAVA3998,2017,PAVA,NA,2,7/27/2017,44.35692295,-113.7022551,River West,2.5,ARAR8,NA,POSE,NA,0,0,2017,Crew Leader,PAVA,2/6/2017,8/4/2017,Average
777,ubibu0268,2016,BIBU,0,94,7/26/2016,43.36376483,-113.0403738,Sunset,2.5,ARTRW8,NA,OTHER,leci4,40,1,Currently Employed,NA,All Sites,NA,NA,NA
13,U_BIBU4287,2018,BIBU,2.563966202,101,7/25/2018,43.33663258,-113.1411555,Serviceberry,2.5,ARTRW8,NA,AGCR,NA,20,1,2018,Wildlife Technician,BIBU,2/26/2018,8/15/2018,Excellent
786,upahs0562,2016,PAVA,25.60321619,94,8/15/2016,44.36405195,-113.6716151,River,50,ARAR8,NA,PSSP6,NA,0,1,Currently Employed,NA,All Sites,NA,NA,NA
1,U_PAVA4172,2017,PAVA,NA,2,7/30/2017,44.36941029,-113.6947845,River West,2.5,ARAR8,NA,POSE,NA,0,0,2017,Crew Leader,PAVA,2/6/2017,8/4/2017,Average
17,U_BRBE109,2017,BRBE,NA,70,7/31/2017,42.01183564,-114.7595547,China Creek BLM #1,2.5,ARAR8,NA,PSSP6,NA,20,0,2017,Range Technician,BRBE,4/24/2017,8/8/2017,Average
775,ubibu2028,2016,BIBU,NA,94,8/3/2016,43.3573707,-113.1090752,Butte,30,ARTRW8,NA,PSSP6,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
26,U_BRBE3938,2018,BRBE,NA,95,7/19/2018,42.15762921,-114.755006,Indian Cave North,2.5,ARTRW8,NA,POSE,NA,90,0,2018,Crew Leader,BRBE,2/20/2018,8/25/2018,Excellent
6,U_PAVA2434,2018,PAVA,NA,1,8/9/2018,44.37642945,-113.6118728,Goldburg NW - Bear Creek,30,ARTRW8,NA,POSE,NA,0,0,Currently Employed,Project Leader,All Sites,10/18/2016,NA,Excellent
776,ubibu0218,2016,BIBU,NA,94,7/28/2016,43.30491487,-113.1450558,Serviceberry,2.5,ARTR4,NA,POSE,NA,10,0,Currently Employed,NA,All Sites,NA,NA,NA
775,ubibu2003,2016,BIBU,NA,94,7/27/2016,43.36069233,-113.0755064,Butte,13,ARTRW8,NA,PSSP6,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
825,ujisa2117,2016,JISA,NA,94,7/20/2016,42.18264019,-113.4412918,Kane Springs (Line Canyon),30,ARAR8,NA,PSSP6,NA,10,0,Currently Employed,NA,All Sites,NA,NA,NA
14,U_BRBE3132,2018,BRBE,0,95,7/25/2018,42.07108538,-114.8026755,Browns Creek East,2.5,ARNO4,NA,AGCR,NA,70,1,2018,Crew Leader,BRBE,2/20/2018,8/25/2018,Excellent
776,ubibu0074,2016,BIBU,NA,94,7/28/2016,43.33381829,-113.1570747,Serviceberry,2.5,ARTR4,NA,STIPA,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
786,U_PAVA2134,2018,PAVA,NA,471057389,8/8/2018,44.36587951,-113.7099206,River,2.5,ARAR8,NA,POSE,NA,0,0,Currently Employed,Graduate Student,All Sites,4/30/2018,NA,Excellent
17,U_BRBE2839,2018,BRBE,NA,471057386,7/30/2018,42.01169483,-114.7593542,China Creek BLM #1,2.5,ARAR8,NA,PSSP6,NA,50,0,2018,Research Technician,SHCR,5/14/2018,NA,Average
3,U_PAVA4419,2018,PAVA,0,471057388,8/7/2018,44.3242218,-113.5845969,Goldburg SE - Summit,2.5,ARTRW8,NA,FEID,NA,0,1,2018,Point Count Technician,PAVA,5/3/2018,8/10/2018,Excellent
786,U_PAVA2589,2018,PAVA,1.72584849,95,8/9/2018,44.38933077,-113.72093,River,2.5,ARTRW8,NA,POSE,NA,0,1,2018,Crew Leader,BRBE,2/20/2018,8/25/2018,Excellent
13,U_BIBU4193,2018,BIBU,NA,101,7/26/2018,43.31873376,-113.1599018,Serviceberry,2.5,ARTR4,NA,AGCR,NA,10,0,2018,Wildlife Technician,BIBU,2/26/2018,8/15/2018,Excellent
795,356,2015,SHCR,NA,94,7/29/2015,42.036609,-115.707591,Slaughterhouse,30,ARTRW, ,PSSP6, ,10,0,Currently Employed,NA,All Sites,NA,NA,NA
786,upahs0584,2016,PAVA,NA,94,8/12/2016,44.36563353,-113.6792122,River,50,ARAR8,NA,POSE,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
13,U_BIBU3406,2017,BIBU,NA,74,7/20/2017,43.30257279,-113.1600893,Serviceberry,13,ARTRT,NA,OTHER,LECI4,40,0,2017,Range Technician,BIBU,5/1/2017,8/9/2017,Excellent
786,upahs0406,2016,PAVA,5.717070475,94,8/12/2016,44.35276114,-113.6936656,River,70,ARAR8,NA,STIPA,NA,0,1,Currently Employed,NA,All Sites,NA,NA,NA
22,U_SHCR695,2017,SHCR,NA,59,7/31/2017,42.09329819,-115.8305878,(North) Tokum-Bambi West,2.5,ARTRW8,NA,POSE,NA,40,0,2016-2018,Crew Leader,BRBE,NA,NA,NA
804,U_BIBU4321,2018,BIBU,NA,101,7/27/2018,43.42625686,-113.084371,Frenchman South,2.5,ARTRW8,NA,PSSP6,NA,20,0,2018,Wildlife Technician,BIBU,2/26/2018,8/15/2018,Excellent
17,62,2015,BRBE,NA,94,7/28/2015,42.00127,-114.765923,China Creek BLM #1,2.5,ARAR8, ,PSSP6, ,10,0,Currently Employed,NA,All Sites,NA,NA,NA
788,U_PAVA1134,2018,PAVA,NA,111,8/10/2018,44.29204339,-113.6725337,West River Flat,30,ARAR8,NA,POSE,NA,0,0,2018,Research Technician,BRBE,4/9/2018,8/25/2018,Average
843,1434,2015,SHCR,NA,94,7/29/2015,42.086651,-115.84811,East Blackleg,13,ARTRT, ,PSSP6, ,50,0,Currently Employed,NA,All Sites,NA,NA,NA
786,U_PAVA2147,2018,PAVA,0,98,8/2/2018,44.36590482,-113.6611845,River,2.5,CHNA,NA,PSSP6,NA,0,1,2018,Crew Leader,PAVA,2/20/2018,8/25/2018,Excellent
786,U_PAVA4496,2017,PAVA,14.87545796,2,7/28/2017,44.39659083,-113.7022031,River East,30,ARTRW8,NA,POSE,NA,0,1,2017,Crew Leader,PAVA,2/6/2017,8/4/2017,Average
619,2177,2015,SHCR,NA,94,7/21/2015,42.130017,-115.776841,Tokum-Bambi West Non-Treatment (North),30,ARTRW, ,POSE, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
843,ushcr2370,2016,SHCR,6.399761127,94,7/19/2016,42.06517348,-115.8456359,East Blackleg,13,ARTRW8,NA,PSSP6,NA,50,1,Currently Employed,NA,All Sites,NA,NA,NA
619,2433,2015,SHCR,NA,94,7/20/2015,42.159058,-115.765522,Tokum-Bambi West Non-Treatment (North),13,ARTRW, ,ELEL5, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
786,upahs0967,2016,PAVA,NA,94,8/10/2016,44.39722869,-113.7182319,River,50,SAVE4,NA,ELEL5,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
5,U_PAVA2454,2017,PAVA,NA,72,8/10/2017,44.34913109,-113.5343382,Goldburg NE - Big Gulch,2.5,ARTRW8,NA,PSSP6,NA,0,0,2017,Range Technician,SHCR,4/24/2017,8/25/2017,Average
795,2126,2015,SHCR,NA,94,7/30/2015,42.121585,-115.685828,Slaughterhouse,50,ARTRW, ,POSE, ,20,0,Currently Employed,NA,All Sites,NA,NA,NA
162,3379,2015,BIBU,NA,94,7/22/2015,43.444908,-113.087653,Frenchman,2.5,ARTRW, ,PSSP6, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
17,ubrbe3230,2016,BRBE,2.24526033,94,8/1/2016,42.01345325,-114.75906,China Creek BLM #1,13,ARNO4,NA,POSE,NA,10,1,Currently Employed,NA,All Sites,NA,NA,NA
1,U_PAVA4350,2017,PAVA,NA,2,7/28/2017,44.38400756,-113.7022328,River West,13,ARTRW8,NA,POSE,NA,0,0,2017,Crew Leader,PAVA,2/6/2017,8/4/2017,Average
781,U_SHCR1140,2017,SHCR,0,72,7/19/2017,42.14315062,-115.7532123,(North) Tokum-Bambi East,2.5,ARTRW8,NA,POSE,NA,60,1,2017,Range Technician,SHCR,4/24/2017,8/25/2017,Average
17,U_BRBE2823,2018,BRBE,0,95,7/31/2018,42.00978137,-114.7774015,China Creek BLM #1,2.5,ARNO4,NA,POSE,NA,10,1,2018,Crew Leader,BRBE,2/20/2018,8/25/2018,Excellent
843,ushcr2306,2016,SHCR,NA,94,7/25/2016,42.08284788,-115.8497756,East Blackleg,30,ARTRW8,NA,POSE,NA,20,0,Currently Employed,NA,All Sites,NA,NA,NA
786,U_PAVA4083,2017,PAVA,NA,69,8/2/2017,44.36224124,-113.6647294,River East,13,ARTRW8,NA,POSE,NA,0,0,2017,Range Technician,PAVA,5/8/2017,8/11/2017,Excellent
785,1636,2015,SHCR,NA,94,7/29/2015,42.094575,-115.799876,Tokum-Bambi West,30,CHRYS9, ,STIPA, ,80,0,Currently Employed,NA,All Sites,NA,NA,NA
795,1423,2015,SHCR,NA,94,7/29/2015,42.086263,-115.696977,Slaughterhouse,30,ARTRW, ,ELEL5, ,50,0,Currently Employed,NA,All Sites,NA,NA,NA
795,663,2015,SHCR,NA,94,8/2/2015,42.055177,-115.732459,Slaughterhouse,50,ARTRW, ,POSE, ,10,0,Currently Employed,NA,All Sites,NA,NA,NA
781,U_SGHCR862,2017,SHCR,NA,59,7/21/2017,42.10883553,-115.758379,(North) Tokum-Bambi East,2.5,ARTRW8,NA,ELEL5,NA,90,0,2016-2018,Crew Leader,BRBE,NA,NA,NA
786,upahs0253,2016,PAVA,2.156341494,94,8/16/2016,44.34192546,-113.6893103,River,50,ARAR8,NA,STIPA,NA,0,1,Currently Employed,NA,All Sites,NA,NA,NA
15,U_BRBE747,2017,BRBE,NA,70,7/25/2017,42.10893387,-114.7605056,Corral Creek East,2.5,ARNO4,NA,AGCR,NA,0,0,2017,Range Technician,BRBE,4/24/2017,8/8/2017,Average
24,U_SHCR3024,2017,SHCR,NA,13,7/25/2017,42.11990168,-115.7306402,Slaughterhouse North,2.5,ARTRW8,NA,ELEL5,NA,10,0,2017,Wildlife Technician,SHCR,2/27/2017,8/4/2017,Excellent
795,ushcr2684,2016,SHCR,3.007977811,94,8/4/2016,42.0849474,-115.7022688,Slaughterhouse,13,ARTRW8,NA,FEID,NA,0,1,Currently Employed,NA,All Sites,NA,NA,NA
24,U_SHCR2910,2017,SHCR,0,13,7/26/2017,42.1041979,-115.7087163,Slaughterhouse North,2.5,ARTRW8,NA,POSE,NA,80,1,2017,Wildlife Technician,SHCR,2/27/2017,8/4/2017,Excellent
1,U_PAVA4000,2017,PAVA,0,2,7/30/2017,44.35692428,-113.6947346,River West,2.5,ARAR8,NA,POSE,NA,0,1,2017,Crew Leader,PAVA,2/6/2017,8/4/2017,Average
17,U_BRBE3003,2018,BRBE,NA,471057386,7/30/2018,42.04048645,-114.7598377,China Creek BLM #1,2.5,ARTRW8,NA,STIPA,NA,60,0,2018,Research Technician,SHCR,5/14/2018,NA,Average
3,U_PAVA4377,2018,PAVA,NA,471057388,8/7/2018,44.31511001,-113.5846285,Goldburg SE - Summit,2.5,ARTRV,NA,FEID,NA,0,0,2018,Point Count Technician,PAVA,5/3/2018,8/10/2018,Excellent
786,U_PAVA1458,2018,PAVA,NA,471057389,8/8/2018,44.33713958,-113.7099363,River,13,ARTRV,NA,POSE,NA,0,0,Currently Employed,Graduate Student,All Sites,4/30/2018,NA,Excellent
781,U_SHCR971,2017,SHCR,NA,59,7/21/2017,42.1213877,-115.7587982,(North) Tokum-Bambi East,2.5,ARTRW8,NA,POSE,NA,0,0,2016-2018,Crew Leader,BRBE,NA,NA,NA
786,U_PAVA1438,2018,PAVA,NA,1,8/8/2018,44.33537345,-113.7175055,River,2.5,ARTRW8,NA,POSE,NA,0,0,Currently Employed,Project Leader,All Sites,10/18/2016,NA,Excellent
776,3153,2015,BIBU,NA,94,7/30/2015,43.355156,-113.11988,Serviceberry,13,ARTRW, ,AGCR, ,20,0,Currently Employed,NA,All Sites,NA,NA,NA
5,U_PAVA1828,2018,PAVA,NA,112,7/25/2018,44.35094901,-113.555647,Goldburg NE - Big Gulch,13,ARTRW8,NA,PSSP6,NA,0,0,2018,Research Technician,PAVA,4/9/2018,8/10/2018,Excellent
17,U_BRBE119,2017,BRBE,0,66,7/28/2017,42.01347125,-114.7714107,China Creek BLM #1,2.5,ARNO4,NA,POSE,NA,0,1,2017,IDFG Technician,All Sites,1/30/2017,9/1/2017,Excellent
17,U_BRBE283,2017,BRBE,NA,68,7/31/2017,42.04241773,-114.7536829,China Creek BLM #1,13,ARTRT,NA,POSE,NA,60,0,2017,Range Technician,BRBE,4/24/2017,5/11/2018,Average
29,ujisa0979,2016,JISA,NA,94,7/26/2016,42.14471318,-113.4190796,Sheep Mountain South,2.5,ARAR8,NA,PSSP6,NA,50,0,Currently Employed,NA,All Sites,NA,NA,NA
1,U_PAVA3814,2017,PAVA,NA,69,7/21/2017,44.34427728,-113.7138938,River West,2.5,ARTRW8,NA,POSE,NA,0,0,2017,Range Technician,PAVA,5/8/2017,8/11/2017,Excellent
795,1195,2015,SHCR,NA,94,7/29/2015,42.077222,-115.702717,Slaughterhouse,13,ARTRW, ,PSSP6, ,10,0,Currently Employed,NA,All Sites,NA,NA,NA
777,ubibu0668,2016,BIBU,NA,94,7/22/2016,43.30088152,-113.0599133,Sunset,2.5,ARTR4,NA,PSSP6,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
26,ubrbe1109,2016,BRBE,NA,94,7/21/2016,42.17514914,-114.7542966,Indian Cave North,2.5,ARNO4,NA,POSE,NA,10,0,Currently Employed,NA,All Sites,NA,NA,NA
785,1792,2015,SHCR,NA,94,7/29/2015,42.101673,-115.806201,Tokum-Bambi West,13,ARTRW, ,ELEL5, ,20,0,Currently Employed,NA,All Sites,NA,NA,NA
776,ubibu0143,2016,BIBU,NA,94,7/28/2016,43.32139368,-113.1694975,Serviceberry,2.5,ARTR4,NA,POSE,NA,10,0,Currently Employed,NA,All Sites,NA,NA,NA
795,ushcr2504,2016,SHCR,0,94,7/22/2016,42.10435794,-115.7137981,Slaughterhouse,2.5,ARTRW8,NA,POSE,NA,80,1,Currently Employed,NA,All Sites,NA,NA,NA
786,U_PAVA1556,2018,PAVA,NA,111,8/7/2018,44.34253563,-113.6836238,River,13,ARAR8,NA,POSE,NA,0,0,2018,Research Technician,BRBE,4/9/2018,8/25/2018,Average
15,U_BRBE0005,2018,BRBE,NA,95,7/24/2018,42.0800536,-114.7688427,Corral Creek East,13,ARNO4,NA,POSE,NA,20,0,2018,Crew Leader,BRBE,2/20/2018,8/25/2018,Excellent
2,U_PAVA4115,2017,PAVA,11.35036978,69,8/2/2017,44.36386046,-113.6383045,River East,13,ARTRW8,NA,POSE,NA,0,1,2017,Range Technician,PAVA,5/8/2017,8/11/2017,Excellent
776,2840,2015,BIBU,NA,94,7/21/2015,43.31797,-113.163897,Serviceberry,2.5,ARTR2, ,AGCR, ,10,0,Currently Employed,NA,All Sites,NA,NA,NA
777,ubibu035t,2016,BIBU,NA,94,7/25/2016,43.34234055,-113.0531182,Sunset,2.5,ARTR4,NA,PSSP6,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
13,U_BIBU4127,2018,BIBU,NA,101,7/26/2018,43.30457996,-113.1724137,Serviceberry,2.5,ARTR4,NA,POSE,NA,10,0,2018,Wildlife Technician,BIBU,2/26/2018,8/15/2018,Excellent
786,U_PAVA1604,2018,PAVA,NA,471057388,8/3/2018,44.34410708,-113.6572174,River,2.5,ARAR8,NA,POSE,NA,0,0,2018,Point Count Technician,PAVA,5/3/2018,8/10/2018,Excellent
777,ubibu0693,2016,BIBU,NA,94,7/22/2016,43.29731181,-113.0599367,Sunset,2.5,ARTR4,NA,PSSP6,NA,10,0,Currently Employed,NA,All Sites,NA,NA,NA
17,UBRBE3070,2016,BRBE,12.16194145,94,8/3/2016,42.02968173,-114.766512,China Creek BLM #1,30,ARNO4,NA,ELEL5,NA,0,1,Currently Employed,NA,All Sites,NA,NA,NA
22,U_SHCR0033,2018,SHCR,NA,471057386,8/3/2018,42.08771862,-115.8314419,Tokum-Bambi West,2.5,ARTRW8,NA,PSSP6,NA,40,0,2018,Research Technician,SHCR,5/14/2018,NA,Average
14,U_BRBE3409,2018,BRBE,NA,1,7/25/2018,42.09627932,-114.7725223,Browns Creek East,2.5,ARNO4,NA,ELEL5,NA,10,0,Currently Employed,Project Leader,All Sites,10/18/2016,NA,Excellent
786,U_PAVA2580,2018,PAVA,NA,112,8/2/2018,44.38747658,-113.6758306,River,2.5,ARTRW8,NA,PSSP6,NA,0,0,2018,Research Technician,PAVA,4/9/2018,8/10/2018,Excellent
5,U_PAVA1837,2018,PAVA,NA,112,7/24/2018,44.35087725,-113.5216568,Goldburg NE - Big Gulch,13,ARTRW8,NA,POSE,NA,10,0,2018,Research Technician,PAVA,4/9/2018,8/10/2018,Excellent
15,U_BRBE0190,2018,BRBE,NA,1,7/24/2018,42.11417411,-114.7652535,Corral Creek East,50,ARNO4,NA,AGCR,NA,0,0,Currently Employed,Project Leader,All Sites,10/18/2016,NA,Excellent
17,U_BRBE200,2017,BRBE,NA,70,7/31/2017,42.02616964,-114.75957,China Creek BLM #1,13,ARNO4,NA,POSE,NA,20,0,2017,Range Technician,BRBE,4/24/2017,8/8/2017,Average
786,upahs0671,2016,PAVA,NA,94,8/10/2016,44.37214006,-113.7094943,River,30,ARTRV,NA,POSE,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
786,U_PAVA1793,2018,PAVA,NA,98,8/8/2018,44.35155299,-113.7136821,River,2.5,ARTRW8,NA,POSE,NA,0,0,2018,Crew Leader,PAVA,2/20/2018,8/25/2018,Excellent
3,W495,2017,PAVA,0,72,8/7/2017,44.32941075,-113.5781862,Goldburg SE - Summit,2.5,ARTR4,NA,FEID,NA,0,1,2017,Range Technician,SHCR,4/24/2017,8/25/2017,Average
775,ubibu1794,2016,BIBU,NA,94,7/29/2016,43.37877326,-113.0901453,Butte,13,ARTRW8,NA,PSSP6,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
21,U_BIBU1814,2017,BIBU,NA,3,7/27/2017,43.35220875,-113.0544944,Sunset North,2.5,ARTRW8,NA,PSSP6,NA,10,0,2017,Crew Leader,BIBU,2/6/2017,8/25/2017,Excellent
840,2663,2015,JISA,NA,94,7/23/2015,42.186578,-113.427256,Sheep Mountain,2.5,ARTRW, ,POSE, ,60,0,Currently Employed,NA,All Sites,NA,NA,NA
786,upahs0998,2016,PAVA,NA,94,8/15/2016,44.40105647,-113.7070271,River,50,ARTRW8,NA,POSE,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
777,ubibu0471,2016,BIBU,NA,94,7/25/2016,43.32433616,-113.059537,Sunset,2.5,ARTRW8,NA,OTHER,LECI4,10,0,Currently Employed,NA,All Sites,NA,NA,NA
21,U_BIBU0683,2018,BIBU,NA,97,8/7/2018,43.34860762,-113.0557763,Sunset North,13,ARTRW8,NA,POSE,NA,50,0,2018,Crew Leader,BIBU,2/20/2018,8/25/2018,Excellent
17,ubrbe3127,2016,BRBE,NA,94,7/19/2016,42.02217104,-114.7918162,China Creek BLM #1,2.5,ARNO4,NA,POSE,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
13,U_BIBU4253,2018,BIBU,NA,101,7/26/2018,43.32951532,-113.1597807,Serviceberry,2.5,ARTR4,NA,POSE,NA,80,0,2018,Wildlife Technician,BIBU,2/26/2018,8/15/2018,Excellent
843,855,2015,SHCR,NA,94,7/27/2015,42.063523,-115.829253,East Blackleg,13,ARTRW, ,PSSP6, ,80,0,Currently Employed,NA,All Sites,NA,NA,NA
21,U_BIBU0851,2018,BIBU,NA,10,8/7/2018,43.35936867,-113.0519887,Sunset North,50,ARTRW8,NA,STIPA,NA,50,0,2017-2018,Wildlife Technician,SHCR,2/13/2017,8/15/2018,Excellent
7,U_PAVA246,2017,PAVA,NA,3,8/14/2017,44.30837837,-113.6989097,West River Flat North,2.5,ARAR8,NA,POSE,NA,0,0,2017,Crew Leader,BIBU,2/6/2017,8/25/2017,Excellent
29,U_JISA1173,2017,JISA,0,65,8/4/2017,42.15877142,-113.4356629,Sheep Mountain South,2.5,ARTRW8,NA,PSSP6,NA,10,1,2017,Volunteer,BRBE,4/2/2017,6/10/2017,NA
17,U_BRBE3104,2018,BRBE,NA,108,7/31/2018,42.06553199,-114.7902528,China Creek BLM #1,2.5,ARNO4,NA,POSE,NA,10,0,2018,Research Technician,BRBE,4/9/2018,8/7/2018,Excellent
788,U_PAVA1259,2018,PAVA,NA,95,8/10/2018,44.30281495,-113.6686836,West River Flat,30,ARAR8,NA,POSE,NA,0,0,2018,Crew Leader,BRBE,2/20/2018,8/25/2018,Excellent
17,U_BRBE0,2017,BRBE,35.40680985,70,8/1/2017,41.99347224,-114.7955006,China Creek BLM #1,13,ARNO4,NA,POSE,NA,10,1,2017,Range Technician,BRBE,4/24/2017,8/8/2017,Average
786,U_PAVA2193,2018,PAVA,NA,98,8/2/2018,44.36762713,-113.6608557,River,13,ARAR8,NA,POSE,NA,0,0,2018,Crew Leader,PAVA,2/20/2018,8/25/2018,Excellent
777,ubibu0431,2016,BIBU,NA,94,7/21/2016,43.32980824,-113.0655765,Sunset,13,ARTRT,NA,ELEL5,NA,10,0,Currently Employed,NA,All Sites,NA,NA,NA
5,U_PAVA1743,2018,PAVA,NA,471057391,7/24/2018,44.34721569,-113.5180168,Goldburg NE - Big Gulch,30,ARTRW8,NA,POSE,NA,50,0,Currently Employed,Volunteer,All Sites,1/1/2014,NA,NA
3,U_PAVA426,2017,PAVA,0,3,8/10/2017,44.32240193,-113.5934846,Goldburg SE - Summit,2.5,ARTR4,NA,POSE,NA,0,1,2017,Crew Leader,BIBU,2/6/2017,8/25/2017,Excellent
3,U_PAVA474,2017,PAVA,0,3,8/10/2017,44.32779582,-113.5933951,Goldburg SE - Summit,13,ARAR8,NA,POSE,NA,0,1,2017,Crew Leader,BIBU,2/6/2017,8/25/2017,Excellent
17,ubrbe3350,2016,BRBE,NA,94,8/3/2016,42.00274439,-114.7480293,China Creek BLM #1,13,ARNO4,NA,POSE,NA,10,0,Currently Employed,NA,All Sites,NA,NA,NA
785,2135,2015,SHCR,NA,94,7/29/2015,42.122588,-115.794763,Tokum-Bambi West,13,CHRYS9, ,ELEL5, ,30,0,Currently Employed,NA,All Sites,NA,NA,NA
7,U_PAVA378,2017,PAVA,0,3,8/14/2017,44.31908575,-113.7100962,West River Flat North,13,ARAR8,NA,POSE,NA,0,1,2017,Crew Leader,BIBU,2/6/2017,8/25/2017,Excellent
17,U_BRBE260,2017,BRBE,0,70,7/26/2017,42.03860365,-114.7839057,China Creek BLM #1,2.5,ARNO4,NA,POSE,NA,0,1,2017,Range Technician,BRBE,4/24/2017,8/8/2017,Average
13,U_BIBU3590,2017,BIBU,NA,3,7/24/2017,43.32582106,-113.1265907,Serviceberry,30,CHVI8,NA,POSE,NA,10,0,2017,Crew Leader,BIBU,2/6/2017,8/25/2017,Excellent
843,1293,2015,SHCR,NA,94,7/29/2015,42.081052,-115.860008,East Blackleg,13,ARAR8, ,PSSP6, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
776,3091,2015,BIBU,NA,94,7/22/2015,43.3444,-113.113852,Serviceberry,2.5,ARTRW, ,POSE, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
26,U_BRBE3292,2017,BRBE,26.08495968,70,7/20/2017,42.17559193,-114.7660332,Indian Cave North,50,CHVI8,NA,ELEL5,NA,0,1,2017,Range Technician,BRBE,4/24/2017,8/8/2017,Average
777,ubibu0275,2016,BIBU,0,94,7/21/2016,43.36029415,-113.0651232,Sunset,2.5,ARTR4,NA,STIPA,NA,0,1,Currently Employed,NA,All Sites,NA,NA,NA
17,U_BRBE3034,2018,BRBE,NA,95,7/30/2018,42.04613299,-114.7477233,China Creek BLM #1,2.5,ARNO4,NA,ELEL5,NA,90,0,2018,Crew Leader,BRBE,2/20/2018,8/25/2018,Excellent
786,upahs0722,2016,PAVA,NA,94,8/16/2016,44.37614475,-113.6908952,River,70,ATCO,NA,STIPA,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
777,ubibu0386,2016,BIBU,1.661294457,94,7/25/2016,43.33696559,-113.0593482,Sunset,2.5,ARTR4,NA,STIPA,NA,10,1,Currently Employed,NA,All Sites,NA,NA,NA
743,ujisa0788,2016,JISA,NA,94,7/26/2016,42.19264007,-113.4183679,Sheep Mountain North,2.5,ARTRW8,NA,PSSP6,NA,50,0,Currently Employed,NA,All Sites,NA,NA,NA
